inova5,code_muni2,Nome_UF.y,Município_Nome
0,1100015,Rondônia,Alta Floresta D'Oeste
1,1100023,Rondônia,Ariquemes
0,1100031,Rondônia,Cabixi
1,1100049,Rondônia,Cacoal
0,1100056,Rondônia,Cerejeiras
0,1100064,Rondônia,Colorado do Oeste
0,1100072,Rondônia,Corumbiara
0,1100080,Rondônia,Costa Marques
0,1100098,Rondônia,Espigão D'Oeste
0,1100106,Rondônia,Guajará-Mirim
0,1100114,Rondônia,Jaru
0,1100122,Rondônia,Ji-Paraná
0,1100130,Rondônia,Machadinho D'Oeste
0,1100148,Rondônia,Nova Brasilândia D'Oeste
0,1100155,Rondônia,Ouro Preto do Oeste
0,1100189,Rondônia,Pimenta Bueno
1,1100205,Rondônia,Porto Velho
0,1100254,Rondônia,Presidente Médici
0,1100262,Rondônia,Rio Crespo
1,1100288,Rondônia,Rolim de Moura
0,1100296,Rondônia,Santa Luzia D'Oeste
1,1100304,Rondônia,Vilhena
0,1100320,Rondônia,São Miguel do Guaporé
0,1100338,Rondônia,Nova Mamoré
0,1100346,Rondônia,Alvorada D'Oeste
0,1100379,Rondônia,Alto Alegre dos Parecis
0,1100403,Rondônia,Alto Paraíso
0,1100452,Rondônia,Buritis
0,1100502,Rondônia,Novo Horizonte do Oeste
0,1100601,Rondônia,Cacaulândia
0,1100700,Rondônia,Campo Novo de Rondônia
0,1100809,Rondônia,Candeias do Jamari
0,1100908,Rondônia,Castanheiras
0,1100924,Rondônia,Chupinguaia
0,1100940,Rondônia,Cujubim
0,1101005,Rondônia,Governador Jorge Teixeira
0,1101104,Rondônia,Itapuã do Oeste
0,1101203,Rondônia,Ministro Andreazza
0,1101302,Rondônia,Mirante da Serra
0,1101401,Rondônia,Monte Negro
0,1101435,Rondônia,Nova União
0,1101450,Rondônia,Parecis
0,1101468,Rondônia,Pimenteiras do Oeste
0,1101476,Rondônia,Primavera de Rondônia
0,1101484,Rondônia,São Felipe D'Oeste
0,1101492,Rondônia,São Francisco do Guaporé
0,1101500,Rondônia,Seringueiras
0,1101559,Rondônia,Teixeirópolis
0,1101609,Rondônia,Theobroma
0,1101708,Rondônia,Urupá
0,1101757,Rondônia,Vale do Anari
0,1101807,Rondônia,Vale do Paraíso
0,1200013,Acre,Acrelândia
0,1200054,Acre,Assis Brasil
0,1200104,Acre,Brasiléia
1,1200138,Acre,Bujari
1,1200179,Acre,Capixaba
0,1200203,Acre,Cruzeiro do Sul
0,1200252,Acre,Epitaciolândia
0,1200302,Acre,Feijó
0,1200328,Acre,Jordão
0,1200336,Acre,Mâncio Lima
0,1200344,Acre,Manoel Urbano
0,1200351,Acre,Marechal Thaumaturgo
0,1200385,Acre,Plácido de Castro
0,1200393,Acre,Porto Walter
1,1200401,Acre,Rio Branco
0,1200427,Acre,Rodrigues Alves
0,1200435,Acre,Santa Rosa do Purus
1,1200450,Acre,Senador Guiomard
0,1200500,Acre,Sena Madureira
0,1200609,Acre,Tarauacá
0,1200708,Acre,Xapuri
0,1200807,Acre,Porto Acre
0,1300029,Amazonas,Alvarães
0,1300060,Amazonas,Amaturá
0,1300086,Amazonas,Anamã
0,1300102,Amazonas,Anori
0,1300144,Amazonas,Apuí
0,1300201,Amazonas,Atalaia do Norte
0,1300300,Amazonas,Autazes
0,1300409,Amazonas,Barcelos
0,1300508,Amazonas,Barreirinha
0,1300607,Amazonas,Benjamin Constant
0,1300631,Amazonas,Beruri
0,1300680,Amazonas,Boa Vista do Ramos
0,1300706,Amazonas,Boca do Acre
0,1300805,Amazonas,Borba
0,1300839,Amazonas,Caapiranga
0,1300904,Amazonas,Canutama
0,1301001,Amazonas,Carauari
