"Notes"	"State"	"State Code"	"Year"	"Year Code"	Avg Daily Precipitation (mm)
	"Alabama"	"01"	"1979"	"1979"	4.65
	"Alabama"	"01"	"1980"	"1980"	4.08
	"Alabama"	"01"	"1981"	"1981"	3.19
	"Alabama"	"01"	"1982"	"1982"	4.22
	"Alabama"	"01"	"1983"	"1983"	4.80
	"Alabama"	"01"	"1984"	"1984"	3.49
	"Alabama"	"01"	"1985"	"1985"	3.55
	"Alabama"	"01"	"1986"	"1986"	3.26
	"Alabama"	"01"	"1987"	"1987"	3.35
	"Alabama"	"01"	"1988"	"1988"	3.57
	"Alabama"	"01"	"1989"	"1989"	4.47
	"Alabama"	"01"	"1990"	"1990"	3.84
	"Alabama"	"01"	"1991"	"1991"	4.38
	"Alabama"	"01"	"1992"	"1992"	4.14
	"Alabama"	"01"	"1993"	"1993"	3.45
	"Alabama"	"01"	"1994"	"1994"	4.14
	"Alabama"	"01"	"1995"	"1995"	4.03
	"Alabama"	"01"	"1996"	"1996"	3.84
	"Alabama"	"01"	"1997"	"1997"	4.27
	"Alabama"	"01"	"1998"	"1998"	3.87
	"Alabama"	"01"	"1999"	"1999"	3.35
	"Alabama"	"01"	"2000"	"2000"	2.70
	"Alabama"	"01"	"2001"	"2001"	3.88
	"Alabama"	"01"	"2002"	"2002"	3.87
	"Alabama"	"01"	"2003"	"2003"	4.12
	"Alabama"	"01"	"2004"	"2004"	3.89
	"Alabama"	"01"	"2005"	"2005"	3.79
	"Alabama"	"01"	"2006"	"2006"	3.25
	"Alabama"	"01"	"2007"	"2007"	2.43
	"Alabama"	"01"	"2008"	"2008"	3.86
	"Alabama"	"01"	"2009"	"2009"	5.08
	"Alabama"	"01"	"2010"	"2010"	3.29
	"Alabama"	"01"	"2011"	"2011"	3.47
"Total"	"Alabama"	"01"			3.81
	"Arizona"	"04"	"1979"	"1979"	0.88
	"Arizona"	"04"	"1980"	"1980"	0.95
	"Arizona"	"04"	"1981"	"1981"	0.87
	"Arizona"	"04"	"1982"	"1982"	1.13
	"Arizona"	"04"	"1983"	"1983"	1.26
	"Arizona"	"04"	"1984"	"1984"	1.08
	"Arizona"	"04"	"1985"	"1985"	0.96
	"Arizona"	"04"	"1986"	"1986"	0.97
	"Arizona"	"04"	"1987"	"1987"	0.93
	"Arizona"	"04"	"1988"	"1988"	0.87
	"Arizona"	"04"	"1989"	"1989"	0.53
	"Arizona"	"04"	"1990"	"1990"	0.97
	"Arizona"	"04"	"1991"	"1991"	0.90
	"Arizona"	"04"	"1992"	"1992"	1.27
	"Arizona"	"04"	"1993"	"1993"	1.12
	"Arizona"	"04"	"1994"	"1994"	0.85
	"Arizona"	"04"	"1995"	"1995"	0.80
	"Arizona"	"04"	"1996"	"1996"	0.57
	"Arizona"	"04"	"1997"	"1997"	0.82
	"Arizona"	"04"	"1998"	"1998"	0.92
	"Arizona"	"04"	"1999"	"1999"	0.63
	"Arizona"	"04"	"2000"	"2000"	0.69
	"Arizona"	"04"	"2001"	"2001"	0.67
	"Arizona"	"04"	"2002"	"2002"	0.45
	"Arizona"	"04"	"2003"	"2003"	0.71
	"Arizona"	"04"	"2004"	"2004"	0.95
	"Arizona"	"04"	"2005"	"2005"	0.95
	"Arizona"	"04"	"2006"	"2006"	0.74
	"Arizona"	"04"	"2007"	"2007"	0.85
	"Arizona"	"04"	"2008"	"2008"	0.90
	"Arizona"	"04"	"2009"	"2009"	0.53
	"Arizona"	"04"	"2010"	"2010"	1.02
	"Arizona"	"04"	"2011"	"2011"	0.67
"Total"	"Arizona"	"04"			0.86
	"Arkansas"	"05"	"1979"	"1979"	4.13
	"Arkansas"	"05"	"1980"	"1980"	2.72
	"Arkansas"	"05"	"1981"	"1981"	2.95
	"Arkansas"	"05"	"1982"	"1982"	3.88
	"Arkansas"	"05"	"1983"	"1983"	3.17
	"Arkansas"	"05"	"1984"	"1984"	4.14
	"Arkansas"	"05"	"1985"	"1985"	3.26
	"Arkansas"	"05"	"1986"	"1986"	3.15
	"Arkansas"	"05"	"1987"	"1987"	3.63
	"Arkansas"	"05"	"1988"	"1988"	3.17
	"Arkansas"	"05"	"1989"	"1989"	3.52
	"Arkansas"	"05"	"1990"	"1990"	4.61
	"Arkansas"	"05"	"1991"	"1991"	4.20
	"Arkansas"	"05"	"1992"	"1992"	3.22
	"Arkansas"	"05"	"1993"	"1993"	3.50
	"Arkansas"	"05"	"1994"	"1994"	3.66
	"Arkansas"	"05"	"1995"	"1995"	2.98
	"Arkansas"	"05"	"1996"	"1996"	3.52
	"Arkansas"	"05"	"1997"	"1997"	3.46
	"Arkansas"	"05"	"1998"	"1998"	3.25
	"Arkansas"	"05"	"1999"	"1999"	2.85
	"Arkansas"	"05"	"2000"	"2000"	2.91
	"Arkansas"	"05"	"2001"	"2001"	3.62
	"Arkansas"	"05"	"2002"	"2002"	3.62
	"Arkansas"	"05"	"2003"	"2003"	3.07
	"Arkansas"	"05"	"2004"	"2004"	3.90
	"Arkansas"	"05"	"2005"	"2005"	2.48
	"Arkansas"	"05"	"2006"	"2006"	3.42
	"Arkansas"	"05"	"2007"	"2007"	3.19
	"Arkansas"	"05"	"2008"	"2008"	4.17
	"Arkansas"	"05"	"2009"	"2009"	5.00
	"Arkansas"	"05"	"2010"	"2010"	2.74
	"Arkansas"	"05"	"2011"	"2011"	3.77
"Total"	"Arkansas"	"05"			3.48
	"California"	"06"	"1979"	"1979"	1.72
	"California"	"06"	"1980"	"1980"	1.65
	"California"	"06"	"1981"	"1981"	1.86
	"California"	"06"	"1982"	"1982"	2.18
	"California"	"06"	"1983"	"1983"	3.03
	"California"	"06"	"1984"	"1984"	1.27
	"California"	"06"	"1985"	"1985"	1.01
	"California"	"06"	"1986"	"1986"	1.70
	"California"	"06"	"1987"	"1987"	1.35
	"California"	"06"	"1988"	"1988"	1.19
	"California"	"06"	"1989"	"1989"	1.04
	"California"	"06"	"1990"	"1990"	0.97
	"California"	"06"	"1991"	"1991"	1.37
	"California"	"06"	"1992"	"1992"	1.63
	"California"	"06"	"1993"	"1993"	1.86
	"California"	"06"	"1994"	"1994"	1.22
	"California"	"06"	"1995"	"1995"	2.43
	"California"	"06"	"1996"	"1996"	2.09
	"California"	"06"	"1997"	"1997"	1.29
	"California"	"06"	"1998"	"1998"	2.39
	"California"	"06"	"1999"	"1999"	1.19
	"California"	"06"	"2000"	"2000"	1.40
	"California"	"06"	"2001"	"2001"	1.54
